A-Junior	A-Juniorin
Banknachbar	Banknachbarin
Bankräuber	Bankräuberin
Bankrotteur	Bankrotteurin
Bannerträger	Bannerträgerin
Bannwart	Bannwartin
Bantamgewichtler	Bantamgewichtlerin
Baptist	Baptistin
Bär	Bärin
Barackler	Baracklerin
Barbadier	Barbadierin
Barbar	Barbarin
Barceloner	Barcelonerin
Bärenführer	Bärenführerin
Barmer	Barmerin
Barmixer	Barmixerin
Baseballer	Baseballerin
Baselbieter	Baselbieterin
Baseler	Baselerin
Basketballer	Basketballerin
Basler	Baslerin
Bassgeiger	Bassgeigerin
Bastler	Bastlerin
Bauchredner	Bauchrednerin
Baudezernent	Baudezernentin
Bauführer	Bauführerin
Bauhandwerker	Bauhandwerkerin
Bauhelfer	Bauhelferin
Bauherr	Bauherrin
Baukünstler	Baukünstlerin
Bauleiter	Bauleiterin
Baumeister	Baumeisterin
Baumfrevler	Baumfrevlerin
Bauminister	Bauministerin
Baumwollpflücker	Baumwollpflückerin
Bauschlosser	Bauschlosserin
Bauschreiner	Bauschreinerin
Bausenator	Bausenatorin
Bausparer	Bausparerin
Bautechniker	Bautechnikerin
Bautischler	Bautischlerin
Bauträger	Bauträgerin
Bautzener	Bautzenerin
Bauwerber	Bauwerberin
Bauwerker	Bauwerkerin
Bauzeichner	Bauzeichnerin
Bayer	Bayerin
Bayreuther	Bayreutherin
Bazillenträger	Bazillenträgerin
Beachvolleyballer	Beachvolleyballerin
Beamtenanwärter	Beamtenanwärterin
Bearbeiter	Bearbeiterin
Beatboxer	Beatboxerin
Beckmesser	Beckmesserin
Bedenkenträger	Bedenkenträgerin
Bediener	Bedienerin
Bedränger	Bedrängerin
Bedrücker	Bedrückerin
Befehlsempfänger	Befehlsempfängerin
Befehlshaber	Befehlshaberin
Befrachter	Befrachterin
Befreier	Befreierin
Befürworter	Befürworterin
Begleiter	Begleiterin
Beglücker	Beglückerin
Begründer	Begründerin
Begutachter	Begutachterin
Behaviorist	Behavioristin
Beherrscher	Beherrscherin
Behindertensportler	Behindertensportlerin
Behördensprecher	Behördensprecherin
Behördenvertreter	Behördenvertreterin
Beidhänder	Beidhänderin
Beifahrer	Beifahrerin
Beiruter	Beiruterin
Beischlafdieb	Beischlafdiebin
Beischläfer	Beischläferin
Beisitzer	Beisitzerin
Beiträger	Beiträgerin
Beitragszahler	Beitragszahlerin
Beitrittskandidat	Beitrittskandidatin
Beitrittswerber	Beitrittswerberin
Beiwagenfahrer	Beiwagenfahrerin
Beizer	Beizerin
Bekehrer	Bekehrerin
Bekenner	Bekennerin
Beleidiger	Beleidigerin
Beleuchter	Beleuchterin
Belgier	Belgierin
Belgrader	Belgraderin
Belizer	Belizerin
Belletrist	Belletristin
Bellizist	Bellizistin
Beniner	Beninerin
Benutzer	Benutzerin
Benzinkutscher	Benzinkutscherin
Beobachter	Beobachterin
Berater	Beraterin
Berber	Berberin
Berchtesgadener	Berchtesgadenerin
Bereichsleiter	Bereichsleiterin
Bereiter	Bereiterin
Bergakademiker	Bergakademikerin
Bergassessor	Bergassessorin
Bergbewohner	Bergbewohnerin
Berggänger	Berggängerin
Bergingenieur	Bergingenieurin
Bergler	Berglerin
Berichter	Berichterin
Berichterstatter	Berichterstatterin
Berliner	Berlinerin
Bermuder	Bermuderin
Berner	Bernerin
Berserker	Berserkerin
Berufsanfänger	Berufsanfängerin
Berufsberater	Berufsberaterin
Berufsboxer	Berufsboxerin
Berufsdichter	Berufsdichterin
Berufseinsteiger	Berufseinsteigerin
Berufsfahrer	Berufsfahrerin
Berufsfotograf	Berufsfotografin
Berufsfußballer	Berufsfußballerin
Berufskraftfahrer	Berufskraftfahrerin
Berufsmusiker	Berufsmusikerin
Berufspendler	Berufspendlerin
Berufspolitiker	Berufspolitikerin
Berufsrevolutionär	Berufsrevolutionärin
Berufsrichter	Berufsrichterin
Berufsrückkehrer	Berufsrückkehrerin
Berufsschüler	Berufsschülerin
Berufsschullehrer	Berufsschullehrerin
Berufssoldat	Berufssoldatin
Berufsspieler	Berufsspielerin
Berufssportler	Berufssportlerin
Berufstrinker	Berufstrinkerin
Berufsverbrecher	Berufsverbrecherin
Berufungskläger	Berufungsklägerin
Berufungsrichter	Berufungsrichterin
Besatzer	Besatzerin
Besatzungssoldat	Besatzungssoldatin
Beschäftigungstherapeut	Beschäftigungstherapeutin
Beschatter	Beschatterin
Beschauer	Beschauerin
Beschirmer	Beschirmerin
Beschließer	Beschließerin
Beschreiber	Beschreiberin
Beschuldiger	Beschuldigerin
Beschützer	Beschützerin
Beschwerdeführer	Beschwerdeführerin
Beschwörer	Beschwörerin
Besenbinder	Besenbinderin
Besenmacher	Besenmacherin
Besetzer	Besetzerin
Besitzbürger	Besitzbürgerin
Besitzdiener	Besitzdienerin
Besitzer	Besitzerin
Besprecher	Besprecherin
Besserverdiener	Besserverdienerin
Besserwisser	Besserwisserin
Bestarbeiter	Bestarbeiterin
Bestbieter	Bestbieterin
Besteller	Bestellerin
Bestimmer	Bestimmerin
Bestsellerautor	Bestsellerautorin
Besucher	Besucherin
Betatester	Betatesterin
Beter	Beterin
Betonbauer	Betonbauerin
Betonierer	Betoniererin
Betörer	Betörerin
Betrachter	Betrachterin
Betreiber	Betreiberin
Betreuer	Betreuerin
Betreuungslehrer	Betreuungslehrerin
Betriebsberater	Betriebsberaterin
Betriebsdirektor	Betriebsdirektorin
Betriebsführer	Betriebsführerin
Betriebsingenieur	Betriebsingenieurin
Betriebsinhaber	Betriebsinhaberin
Betriebsprüfer	Betriebsprüferin
Betriebsratschef	Betriebsratschefin
Betriebswirt	Betriebswirtin
Betriebswirtschafter	Betriebswirtschafterin
Betriebswirtschaftler	Betriebswirtschaftlerin
Betrüger	Betrügerin
Bettler	Bettlerin
Bettnachbar	Bettnachbarin
Bettnässer	Bettnässerin
Bettschoner	Bettschonerin
Beurteiler	Beurteilerin
Beutelschneider	Beutelschneiderin
Bewacher	Bewacherin
Bewahrer	Bewahrerin
Bewerber	Bewerberin
Bewirtschafter	Bewirtschafterin
Bewohner	Bewohnerin
Bezahler	Bezahlerin
Bezieher	Bezieherin
Bezirksbürgermeister	Bezirksbürgermeisterin
Bezirkschef	Bezirkschefin
Bezirksleiter	Bezirksleiterin
Bezirksrichter	Bezirksrichterin
Bezirksvorsteher	Bezirksvorsteherin
Bezüger	Bezügerin
Bezwinger	Bezwingerin
Bhutaner	Bhutanerin
Biathlet	Biathletin
Bibelforscher	Bibelforscherin
Bibliograf	Bibliografin
Bibliotheksbenutzer	Bibliotheksbenutzerin
Bibliotheksdirektor	Bibliotheksdirektorin
Bibliothekshelfer	Bibliothekshelferin
Bibliotheksreferendar	Bibliotheksreferendarin
Biblizist	Biblizistin
Bielefelder	Bielefelderin
Bienenzüchter	Bienenzüchterin
Bierbrauer	Bierbrauerin
Biersieder	Biersiederin
